
This hub-height turbulence-parameter file was generated by TurbSim (v2.00.06a-bjj, 6-Jun-2016) on 07-Jun-2016 at 10:43:29.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   11.781   11.790   11.794    0.465    0.326   -0.396    0.465    0.326   -0.129   -0.185    0.152    0.240    0.136
   0.05   11.742   11.742   11.745    0.038    0.236   -0.435    0.038    0.236   -0.102   -0.017    0.009    0.123    0.052
   0.10   11.641   11.642   11.647    0.187    0.350   -0.536    0.187    0.350   -0.188   -0.100    0.065    0.223    0.111
   0.15   11.796   11.799   11.799    0.259   -0.062   -0.381    0.259   -0.062    0.024   -0.099   -0.016    0.108    0.051
   0.20   11.874   11.879   11.879    0.325   -0.022   -0.303    0.325   -0.022    0.007   -0.099   -0.007    0.099    0.050
   0.25   11.957   11.959   11.959    0.220   -0.064   -0.220    0.220   -0.064    0.014   -0.048   -0.014    0.050    0.026
   0.30   11.795   11.795   11.797    0.143    0.184   -0.382    0.143    0.184   -0.070   -0.055    0.026    0.100    0.046
   0.35   12.001   12.006   12.007    0.344    0.164   -0.176    0.344    0.164   -0.029   -0.060    0.056    0.088    0.044
   0.40   11.939   11.950   11.957    0.497    0.423   -0.238    0.497    0.423   -0.101   -0.118    0.210    0.241    0.131
   0.45   12.052   12.067   12.080    0.587    0.578   -0.125    0.587    0.578   -0.072   -0.073    0.339    0.347    0.177
   0.50   12.139   12.147   12.152    0.444    0.351   -0.038    0.444    0.351   -0.013   -0.017    0.156    0.161    0.079
   0.55   12.200   12.213   12.218    0.560    0.346    0.023    0.560    0.346    0.008    0.013    0.194    0.217    0.097
   0.60   11.938   11.947   11.949    0.464    0.236   -0.239    0.464    0.236   -0.057   -0.111    0.110    0.164    0.083
   0.65   12.008   12.034   12.037    0.796    0.285   -0.169    0.796    0.285   -0.048   -0.135    0.227    0.372    0.134
   0.70   12.066   12.085   12.085    0.663    0.006   -0.111    0.663    0.006   -0.001   -0.073    0.004    0.226    0.037
   0.75   12.251   12.268   12.270    0.637   -0.249    0.074    0.637   -0.249   -0.018    0.047   -0.158    0.236    0.083
   0.80   12.172   12.179   12.181    0.398   -0.228   -0.005    0.398   -0.228    0.001   -0.002   -0.091    0.105    0.046
   0.85   12.185   12.189   12.190    0.290   -0.149    0.008    0.290   -0.149   -0.001    0.002   -0.043    0.053    0.022
   0.90   12.452   12.466   12.467    0.591   -0.165    0.275    0.591   -0.165   -0.045    0.162   -0.098    0.226    0.097
   0.95   12.413   12.425   12.429    0.543   -0.319    0.236    0.543   -0.319   -0.075    0.128   -0.173    0.226    0.114
   1.00   12.472   12.474   12.496    0.207   -0.746    0.295    0.207   -0.746   -0.220    0.061   -0.154    0.343    0.138
   1.05   12.615   12.615   12.627    0.033   -0.550    0.438    0.033   -0.550   -0.241    0.014   -0.018    0.248    0.121
   1.10   12.812   12.813   12.825    0.149   -0.569    0.635    0.149   -0.569   -0.361    0.095   -0.085    0.374    0.191
   1.15   12.520   12.520   12.528   -0.086   -0.429    0.343   -0.086   -0.429   -0.147   -0.029    0.037    0.154    0.077
   1.20   12.370   12.379   12.391   -0.471   -0.531    0.193   -0.471   -0.531   -0.103   -0.091    0.250    0.270    0.143
   1.25   12.672   12.680   12.705   -0.450   -0.783    0.495   -0.450   -0.783   -0.388   -0.223    0.352    0.531    0.285
   1.30   12.672   12.675   12.712   -0.288   -0.973    0.495   -0.288   -0.973   -0.481   -0.143    0.281    0.637    0.287
   1.35   12.811   12.813   12.841   -0.220   -0.846    0.634   -0.220   -0.846   -0.536   -0.139    0.186    0.583    0.292
   1.40   13.063   13.063   13.091   -0.019   -0.860    0.886   -0.019   -0.860   -0.762   -0.017    0.016    0.762    0.381
