
This hub-height turbulence-parameter file was generated by TurbSim (v2.00.06a-bjj, 6-Jun-2016) on 07-Jun-2016 at 10:43:30.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00    1.211    1.211    1.211   -0.009   -0.042    0.097   -0.009   -0.042   -0.004   -0.001    0.000    0.006    0.002
   0.05    1.204    1.204    1.205   -0.008   -0.046    0.090   -0.008   -0.046   -0.004   -0.001    0.000    0.005    0.002
   0.10    1.214    1.214    1.215   -0.015   -0.039    0.100   -0.015   -0.039   -0.004   -0.002    0.001    0.006    0.002
   0.15    1.216    1.217    1.217   -0.031   -0.031    0.102   -0.031   -0.031   -0.003   -0.003    0.001    0.006    0.002
   0.20    1.219    1.219    1.220   -0.022   -0.031    0.105   -0.022   -0.031   -0.003   -0.002    0.001    0.006    0.002
   0.25    1.215    1.215    1.215    0.012   -0.045    0.101    0.012   -0.045   -0.005    0.001   -0.001    0.006    0.002
   0.30    1.204    1.204    1.204    0.006   -0.038    0.090    0.006   -0.038   -0.003    0.001   -0.000    0.005    0.002
   0.35    1.198    1.198    1.198   -0.013   -0.032    0.084   -0.013   -0.032   -0.003   -0.001    0.000    0.004    0.001
   0.40    1.197    1.197    1.198   -0.013   -0.028    0.083   -0.013   -0.028   -0.002   -0.001    0.000    0.004    0.001
   0.45    1.206    1.206    1.206   -0.011   -0.020    0.092   -0.011   -0.020   -0.002   -0.001    0.000    0.005    0.001
   0.50    1.203    1.203    1.203   -0.012   -0.020    0.089   -0.012   -0.020   -0.002   -0.001    0.000    0.004    0.001
   0.55    1.210    1.210    1.210    0.007   -0.021    0.096    0.007   -0.021   -0.002    0.001   -0.000    0.005    0.001
   0.60    1.221    1.222    1.222    0.028   -0.024    0.107    0.028   -0.024   -0.003    0.003   -0.001    0.006    0.002
   0.65    1.238    1.239    1.239    0.020   -0.022    0.124    0.020   -0.022   -0.003    0.002   -0.000    0.008    0.002
